userid;user_artist_data.ID;artist_alias.ID;artistid;badid;goodid;artist_name;playcount
521;1608;278;1034635;1000110;1034635;[unknown];7
536;2127;278;1034635;1000110;1034635;[unknown];84
581;2733;278;1034635;1000110;1034635;[unknown];12
659;4178;278;1034635;1000110;1034635;[unknown];9
727;4642;278;1034635;1000110;1034635;[unknown];26
825;5754;278;1034635;1000110;1034635;[unknown];2
2686;8202;278;1034635;1000110;1034635;[unknown];1
3065;8929;278;1034635;1000110;1034635;[unknown];13
3332;9948;278;1034635;1000110;1034635;[unknown];1
3344;10601;278;1034635;1000110;1034635;[unknown];5
3793;12191;278;1034635;1000110;1034635;[unknown];1
4214;13631;278;1034635;1000110;1034635;[unknown];32
4299;14807;278;1034635;1000110;1034635;[unknown];5
4301;15100;278;1034635;1000110;1034635;[unknown];3
4817;16188;278;1034635;1000110;1034635;[unknown];1
5116;19060;278;1034635;1000110;1034635;[unknown];21
5241;19204;278;1034635;1000110;1034635;[unknown];2
5582;19604;278;1034635;1000110;1034635;[unknown];1
5628;19877;278;1034635;1000110;1034635;[unknown];74
5661;20353;278;1034635;1000110;1034635;[unknown];2
5921;20659;278;1034635;1000110;1034635;[unknown];1
6009;20743;278;1034635;1000110;1034635;[unknown];1
6141;22002;278;1034635;1000110;1034635;[unknown];21
6353;22273;278;1034635;1000110;1034635;[unknown];12
6390;23145;278;1034635;1000110;1034635;[unknown];4
6747;25792;278;1034635;1000110;1034635;[unknown];47
6797;27166;278;1034635;1000110;1034635;[unknown];1
6865;28053;278;1034635;1000110;1034635;[unknown];1
6937;29994;278;1034635;1000110;1034635;[unknown];1
7130;32821;278;1034635;1000110;1034635;[unknown];5
7275;33745;278;1034635;1000110;1034635;[unknown];1
7333;35287;278;1034635;1000110;1034635;[unknown];2
7585;38251;278;1034635;1000110;1034635;[unknown];4
7721;40138;278;1034635;1000110;1034635;[unknown];14
8016;40698;278;1034635;1000110;1034635;[unknown];36
8017;40991;278;1034635;1000110;1034635;[unknown];2
8492;41684;278;1034635;1000110;1034635;[unknown];8
8618;43256;278;1034635;1000110;1034635;[unknown];65
9058;47886;278;1034635;1000110;1034635;[unknown];3
9189;48387;278;1034635;1000110;1034635;[unknown];50
9219;48610;278;1034635;1000110;1034635;[unknown];1
9660;49585;278;1034635;1000110;1034635;[unknown];61
9769;49960;278;1034635;1000110;1034635;[unknown];4
9837;50328;278;1034635;1000110;1034635;[unknown];2
10938;53356;278;1034635;1000110;1034635;[unknown];8
11480;53744;278;1034635;1000110;1034635;[unknown];11
14796;56629;278;1034635;1000110;1034635;[unknown];2
15030;58758;278;1034635;1000110;1034635;[unknown];64
15434;60552;278;1034635;1000110;1034635;[unknown];2
15516;61996;278;1034635;1000110;1034635;[unknown];1
16086;63450;278;1034635;1000110;1034635;[unknown];1
17998;66203;278;1034635;1000110;1034635;[unknown];2
1000002;67038;278;1034635;1000110;1034635;[unknown];42
1000019;68061;278;1034635;1000110;1034635;[unknown];11
1000020;68772;278;1034635;1000110;1034635;[unknown];19
1000023;70405;278;1034635;1000110;1034635;[unknown];31
1000025;70724;278;1034635;1000110;1034635;[unknown];4
1000028;71079;278;1034635;1000110;1034635;[unknown];1
1000030;71674;278;1034635;1000110;1034635;[unknown];1
1000033;71890;278;1034635;1000110;1034635;[unknown];17
1000034;72159;278;1034635;1000110;1034635;[unknown];12
1000035;72385;278;1034635;1000110;1034635;[unknown];4
1000038;72808;278;1034635;1000110;1034635;[unknown];1
1000041;73013;278;1034635;1000110;1034635;[unknown];4
1000056;73680;278;1034635;1000110;1034635;[unknown];5
1000057;73936;278;1034635;1000110;1034635;[unknown];1
1000060;74263;278;1034635;1000110;1034635;[unknown];1
1000061;74454;278;1034635;1000110;1034635;[unknown];1
1000063;74500;278;1034635;1000110;1034635;[unknown];1
1000073;77208;278;1034635;1000110;1034635;[unknown];1
1000083;78091;278;1034635;1000110;1034635;[unknown];4
1000087;78482;278;1034635;1000110;1034635;[unknown];1
1000091;78973;278;1034635;1000110;1034635;[unknown];5
1000096;79434;278;1034635;1000110;1034635;[unknown];2
1000097;79610;278;1034635;1000110;1034635;[unknown];1
1000100;81340;278;1034635;1000110;1034635;[unknown];2
1000109;84438;278;1034635;1000110;1034635;[unknown];1
1000111;85235;278;1034635;1000110;1034635;[unknown];1
1000112;85865;278;1034635;1000110;1034635;[unknown];3
1000117;87039;278;1034635;1000110;1034635;[unknown];4
1000119;87387;278;1034635;1000110;1034635;[unknown];26
1000125;88035;278;1034635;1000110;1034635;[unknown];12
1000127;88742;278;1034635;1000110;1034635;[unknown];16
1000144;90710;278;1034635;1000110;1034635;[unknown];5
1000145;91439;278;1034635;1000110;1034635;[unknown];100
1000147;91811;278;1034635;1000110;1034635;[unknown];3
1000154;92834;278;1034635;1000110;1034635;[unknown];1
1000159;93319;278;1034635;1000110;1034635;[unknown];6
1000166;94470;278;1034635;1000110;1034635;[unknown];96
1000176;97392;278;1034635;1000110;1034635;[unknown];29
1000178;97962;278;1034635;1000110;1034635;[unknown];7
1000190;101087;278;1034635;1000110;1034635;[unknown];2
